results_for_player_key,event_key,event_date,event_time,event_first_player,first_player_key,event_second_player,second_player_key,event_final_result,event_game_result,event_serve,event_winner,event_status,event_type_type,tournament_name,tournament_key,tournament_round,tournament_season,event_live,event_qualification,event_first_player_logo,event_second_player_logo,download_time
,12099841,2026-02-02,10:00,E. R. Bertea,67747,K. Juvan,519,-,-,,,1,Wta Singles,WTA Cluj-Napoca,4407,WTA Cluj-Napoca - 1/16-finals,2026,0,False,,https://api.api-tennis.com/logo-tennis/519_k-juvan.jpg,2026-02-01 15:47:17
,12099842,2026-02-02,10:00,M. Bulgaru,173,O. Danilovic,494,-,-,,,1,Wta Singles,WTA Cluj-Napoca,4407,WTA Cluj-Napoca - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/173_m-bulgaru.jpg,https://api.api-tennis.com/logo-tennis/494_o-danilovic.jpg,2026-02-01 15:47:17
,12099843,2026-02-02,10:00,C. Osorio,2390,J. Cristian,33659,-,-,,,1,Wta Singles,WTA Cluj-Napoca,4407,WTA Cluj-Napoca - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/2390_m-c-osorio-serrano.jpg,https://api.api-tennis.com/logo-tennis/33659_j-cristian.jpg,2026-02-01 15:47:17
,12099844,2026-02-02,10:00,Ka. Pliskova,517,A. Zakharova,1794,-,-,,,1,Wta Singles,WTA Cluj-Napoca,4407,WTA Cluj-Napoca - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/517_ka-pliskova.jpg,https://api.api-tennis.com/logo-tennis/1794_a-zakharova.jpg,2026-02-01 15:47:17
,12099845,2026-02-02,10:00,A. Potapova,457,L. Bronzetti,516,-,-,,,1,Wta Singles,WTA Cluj-Napoca,4407,WTA Cluj-Napoca - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/457_a-potapova.jpg,https://api.api-tennis.com/logo-tennis/516_l-bronzetti.jpg,2026-02-01 15:47:17
,12099846,2026-02-02,10:00,E. Raducanu,2996,G. Minnen,2191,-,-,,,1,Wta Singles,WTA Cluj-Napoca,4407,WTA Cluj-Napoca - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/2996_e-raducanu.jpg,https://api.api-tennis.com/logo-tennis/2191_g-minnen.jpg,2026-02-01 15:47:17
,12099847,2026-02-02,10:00,K. Rakhimova,1140,S. Cirstea,1150,-,-,,,1,Wta Singles,WTA Cluj-Napoca,4407,WTA Cluj-Napoca - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/1140_k-rakhimova.jpg,https://api.api-tennis.com/logo-tennis/1150_s-cirstea.jpg,2026-02-01 15:47:17
,12099848,2026-02-02,10:00,G. Ruse,1151,R. Masarova,1132,-,-,,,1,Wta Singles,WTA Cluj-Napoca,4407,WTA Cluj-Napoca - 1/16-finals,2026,0,False,https://api.api-tennis.com/logo-tennis/1151_g-ruse.jpg,https://api.api-tennis.com/logo-tennis/1132_r-masarova.jpg,2026-02-01 15:47:17
,12099853,2026-02-02,10:00,Cho I-/Cho,34650,Rakhimova/ Sorribes Tormo,78770,-,-,,,1,Wta Doubles,WTA Cluj-Napoca,4409,WTA Cluj-Napoca - 1/8-finals,2026,0,False,,,2026-02-01 15:47:17
,12099856,2026-02-02,10:00,Chwalinska/ Juvan,95482,Bondar/ Minnen,26236,-,-,,,1,Wta Doubles,WTA Cluj-Napoca,4409,WTA Cluj-Napoca - 1/8-finals,2026,0,False,,,2026-02-01 15:47:17
,12099857,2026-02-02,10:00,Eikeri/ Kempen,95483,Wang/ Zheng,7367,-,-,,,1,Wta Doubles,WTA Cluj-Napoca,4409,WTA Cluj-Napoca - 1/8-finals,2026,0,False,,,2026-02-01 15:47:17
,12099858,2026-02-02,10:00,Jakupovic/ Radisic,50527,Kozyreva/ Shymanovich,79102,-,-,,,1,Wta Doubles,WTA Cluj-Napoca,4409,WTA Cluj-Napoca - 1/8-finals,2026,0,False,,,2026-02-01 15:47:17
,12099859,2026-02-02,10:00,Bertea/ Szabo,95484,Chong/ Liang,26550,-,-,,,1,Wta Doubles,WTA Cluj-Napoca,4409,WTA Cluj-Napoca - 1/8-finals,2026,0,False,,,2026-02-01 15:47:17
,12099860,2026-02-02,10:00,Tang/ Yuan,59419,Cristian/ Ruse,34455,-,-,,,1,Wta Doubles,WTA Cluj-Napoca,4409,WTA Cluj-Napoca - 1/8-finals,2026,0,False,,,2026-02-01 15:47:17
,12099861,2026-02-02,10:00,Corley/ Corley,19717,Cavalle-Reimers/ Moratelli,79226,-,-,,,1,Wta Doubles,WTA Ostrava,3649,WTA Ostrava - 1/8-finals,2026,0,False,,,2026-02-01 15:47:17
,12099862,2026-02-02,10:00,Friedsam A-/Golubic,95485,Haverlag/ Lumsden,82933,-,-,,,1,Wta Doubles,WTA Ostrava,3649,WTA Ostrava - 1/8-finals,2026,0,False,,,2026-02-01 15:47:17
,12099863,2026-02-02,10:00,Galfi/ Kubka,95486,Brooks/ Feng,95487,-,-,,,1,Wta Doubles,WTA Ostrava,3649,WTA Ostrava - 1/8-finals,2026,0,False,,,2026-02-01 15:47:17
,12099864,2026-02-02,10:00,Blinkova/ Maleckova,95488,Gleason/ Siskova,95489,-,-,,,1,Wta Doubles,WTA Ostrava,3649,WTA Ostrava - 1/8-finals,2026,0,False,,,2026-02-01 15:47:17
,12099866,2026-02-02,10:00,Detiuc/ Santamaria,76026,Pigossi/ Vidmanova,95491,-,-,,,1,Wta Doubles,WTA Ostrava,3649,WTA Ostrava - 1/8-finals,2026,0,False,,,2026-02-01 15:47:17
,12099868,2026-02-02,10:00,Arango/ Udvardy,89557,Barnett/ Lechemia,76615,-,-,,,1,Wta Doubles,WTA Ostrava,3649,WTA Ostrava - 1/8-finals,2026,0,False,,,2026-02-01 15:47:17
