results_for_player_key,event_key,event_date,event_time,event_first_player,first_player_key,event_second_player,second_player_key,event_final_result,event_game_result,event_serve,event_winner,event_status,event_type_type,tournament_name,tournament_key,tournament_round,tournament_season,event_live,event_qualification,event_first_player_logo,event_second_player_logo,download_time
2849,12006802,2025-01-14,06:10,M. Arnaldi,1192,L. Musetti,2849,1 - 3,-,,Second Player,Finished,Atp Singles,Australian Open,1236,Australian Open - 1/64-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1192_m-arnaldi.jpg,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,2026-01-11 16:12:59
2849,12007657,2025-01-16,02:55,D. Shapovalov,431,L. Musetti,2849,0 - 3,-,,Second Player,Finished,Atp Singles,Australian Open,1236,Australian Open - 1/32-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/431_d-shapovalov.jpg,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,2026-01-11 16:12:59
2849,12008020,2025-01-18,07:10,B. Shelton,2973,L. Musetti,2849,3 - 1,-,,First Player,Finished,Atp Singles,Australian Open,1236,Australian Open - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2973_b-shelton.jpg,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,2026-01-11 16:12:59
2849,12013448,2025-02-14,00:40,L. Musetti,2849,C. Moutet,2674,2 - 0,-,,First Player,Finished,Atp Singles,Buenos Aires,1246,Buenos Aires - 1/8-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/2674_c-moutet.jpg,2026-01-11 16:12:59
2849,12013630,2025-02-15,01:20,L. Musetti,2849,P. Martinez,1775,-,-,,Second Player,Walk Over,Atp Singles,Buenos Aires,1246,Buenos Aires - Quarter-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/1775_p-martinez.jpg,2026-01-11 16:12:59
2849,12014014,2025-02-18,14:00,T. Barrios Vera,396,L. Musetti,2849,-,-,,,Cancelled,Atp Singles,ATP Rio de Janeiro,2125,ATP Rio de Janeiro - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/396_t-barrios.jpg,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,2026-01-11 16:12:59
2849,12017978,2025-03-08,00:30,R. Safiullin,1057,L. Musetti,2849,1 - 2,-,,Second Player,Finished,Atp Singles,Indian Wells,1903,Indian Wells - 1/32-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1057_r-safiullin.jpg,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,2026-01-11 16:12:59
2849,12018262,2025-03-10,02:10,A. Fils,1759,L. Musetti,2849,2 - 1,-,,First Player,Finished,Atp Singles,Indian Wells,1903,Indian Wells - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1759_a-fils.jpg,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,2026-01-11 16:12:59
2849,12021683,2025-03-21,16:10,L. Musetti,2849,Q. Halys,1925,2 - 1,-,,First Player,Finished,Atp Singles,Miami,1928,Miami - 1/32-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/1925_q-halys.jpg,2026-01-11 16:12:59
2849,12022024,2025-03-23,18:30,L. Musetti,2849,F. Auger-Aliassime,2073,2 - 1,-,,First Player,Finished,Atp Singles,Miami,1928,Miami - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/2073_f-auger-aliassime.jpg,2026-01-11 16:12:59
2849,12022303,2025-03-25,23:35,L. Musetti,2849,N. Djokovic,1905,0 - 2,-,,Second Player,Finished,Atp Singles,Miami,1928,Miami - 1/8-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/1905_n-djokovic.jpg,2026-01-11 16:12:59
2849,12025525,2025-04-07,13:55,Y. Bu,796,L. Musetti,2849,1 - 2,-,,Second Player,Finished,Atp Singles,Monte Carlo,1970,Monte Carlo - 1/32-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/796_b-yunchaokete.jpg,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,2026-01-11 16:12:59
2849,12025762,2025-04-09,11:10,J. Lehecka,2959,L. Musetti,2849,1 - 2,-,,Second Player,Finished,Atp Singles,Monte Carlo,1970,Monte Carlo - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2959_j-lehecka.jpg,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,2026-01-11 16:12:59
2849,12026234,2025-04-10,16:05,M. Berrettini,2844,L. Musetti,2849,0 - 2,-,,Second Player,Finished,Atp Singles,Monte Carlo,1970,Monte Carlo - 1/8-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2844_m-berrettini.jpg,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,2026-01-11 16:12:59
2849,12026502,2025-04-11,16:35,L. Musetti,2849,S. Tsitsipas,1906,2 - 1,-,,First Player,Finished,Atp Singles,Monte Carlo,1970,Monte Carlo - Quarter-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/1906_s-tsitsipas.jpg,2026-01-11 16:12:59
2849,12026674,2025-04-12,15:40,L. Musetti,2849,A. De Minaur,1106,2 - 1,-,,First Player,Finished,Atp Singles,Monte Carlo,1970,Monte Carlo - Semi-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/1106_a-de-minaur.jpg,2026-01-11 16:12:59
2849,12026829,2025-04-14,10:00,L. Musetti,2849,J. Munar,2083,-,-,,,Cancelled,Atp Singles,ATP Barcelona,1979,ATP Barcelona - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/2083_j-munar.jpg,2026-01-11 16:12:59
2849,12026896,2025-04-13,12:10,L. Musetti,2849,C. Alcaraz,2382,1 - 2,-,,Second Player,Finished,Atp Singles,Monte Carlo,1970,Monte Carlo - Final,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/2382_c-alcaraz.jpg,2026-01-11 16:12:59
2849,12029671,2025-04-26,11:10,T. M. Etcheverry,1777,L. Musetti,2849,0 - 2,-,,Second Player,Finished,Atp Singles,Madrid,2004,Madrid - 1/32-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1777_t-m-etcheverry.jpg,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,2026-01-11 16:12:59
2849,12029932,2025-04-29,15:45,S. Tsitsipas,1906,L. Musetti,2849,0 - 2,-,,Second Player,Finished,Atp Singles,Madrid,2004,Madrid - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1906_s-tsitsipas.jpg,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,2026-01-11 16:12:59
2849,12030647,2025-04-30,23:05,A. De Minaur,1106,L. Musetti,2849,0 - 2,-,,Second Player,Finished,Atp Singles,Madrid,2004,Madrid - 1/8-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/1106_a-de-minaur.jpg,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,2026-01-11 16:12:59
2849,12031134,2025-05-01,20:10,L. Musetti,2849,G. Diallo,9909,2 - 0,-,,First Player,Finished,Atp Singles,Madrid,2004,Madrid - Quarter-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/9909_g-diallo.jpg,2026-01-11 16:12:59
2849,12031295,2025-05-02,20:10,J. Draper,7011,L. Musetti,2849,2 - 0,-,,First Player,Finished,Atp Singles,Madrid,2004,Madrid - Semi-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/7011_j-draper.jpg,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,2026-01-11 16:12:59
2849,12032633,2025-05-09,14:50,L. Musetti,2849,O. Virtanen,767,2 - 0,-,,First Player,Finished,Atp Singles,Rome,2011,Rome - 1/32-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/767_o-virtanen.jpg,2026-01-11 16:12:59
2849,12032959,2025-05-11,13:45,L. Musetti,2849,B. Nakashima,2838,2 - 0,-,,First Player,Finished,Atp Singles,Rome,2011,Rome - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/2838_b-nakashima.jpg,2026-01-11 16:12:59
2849,12033220,2025-05-13,15:00,L. Musetti,2849,D. Medvedev,1093,2 - 0,-,,First Player,Finished,Atp Singles,Rome,2011,Rome - 1/8-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/1093_d-medvedev.jpg,2026-01-11 16:12:59
2849,12034193,2025-05-14,21:15,L. Musetti,2849,A. Zverev,1980,2 - 0,-,,First Player,Finished,Atp Singles,Rome,2011,Rome - Quarter-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/1980_a-zverev.jpg,2026-01-11 16:12:59
2849,12034597,2025-05-16,15:45,C. Alcaraz,2382,L. Musetti,2849,2 - 0,-,,First Player,Finished,Atp Singles,Rome,2011,Rome - Semi-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2382_c-alcaraz.jpg,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,2026-01-11 16:12:59
2849,12036910,2025-05-25,15:40,L. Musetti,2849,Y. Hanfmann,1764,3 - 0,-,,First Player,Finished,Atp Singles,French Open,2155,French Open - 1/64-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/1764_y-hanfmann.jpg,2026-01-11 16:12:59
2849,12037187,2025-05-28,11:05,L. Musetti,2849,D. E. Galan,1735,3 - 0,-,,First Player,Finished,Atp Singles,French Open,2155,French Open - 1/32-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/1735_d-e-galan-riveros.jpg,2026-01-11 16:12:59
2849,12038366,2025-05-30,11:10,L. Musetti,2849,M. Navone,949,3 - 1,-,,First Player,Finished,Atp Singles,French Open,2155,French Open - 1/16-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/949_m-navone.jpg,2026-01-11 16:12:59
2849,12038774,2025-06-01,20:55,L. Musetti,2849,H. Rune,437,3 - 1,-,,First Player,Finished,Atp Singles,French Open,2155,French Open - 1/8-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/437_h-rune.jpg,2026-01-11 16:12:59
2849,12039212,2025-06-03,15:40,L. Musetti,2849,F. Tiafoe,2846,3 - 1,-,,First Player,Finished,Atp Singles,French Open,2155,French Open - Quarter-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/2846_f-tiafoe.jpg,2026-01-11 16:12:59
2849,12040166,2025-06-06,14:40,L. Musetti,2849,C. Alcaraz,2382,1 - 2,0 - 0,,Second Player,Retired,Atp Singles,French Open,2155,French Open - Semi-finals,2025,0,False,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/2382_c-alcaraz.jpg,2026-01-11 16:12:59
