event_key,event_date,set_number,number_game,player_served,serve_winner,serve_lost,game_score,number_point,point_score,break_point,set_point,match_point,download_time
12098551,2026-01-28,Set 1,1,First Player,First Player,,1 - 0,1,0 - 15,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,1,First Player,First Player,,1 - 0,2,15 - 15,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,1,First Player,First Player,,1 - 0,3,15 - 30,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,1,First Player,First Player,,1 - 0,4,30 - 30,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,1,First Player,First Player,,1 - 0,5,40 - 30,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,2,Second Player,Second Player,,1 - 1,1,0 - 15,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,2,Second Player,Second Player,,1 - 1,2,0 - 30,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,2,Second Player,Second Player,,1 - 1,3,0 - 40,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,3,First Player,Second Player,First Player,1 - 2,1,15 - 0,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,3,First Player,Second Player,First Player,1 - 2,2,15 - 15,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,3,First Player,Second Player,First Player,1 - 2,3,15 - 30,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,3,First Player,Second Player,First Player,1 - 2,4,15 - 40,First Play,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,4,Second Player,Second Player,,1 - 3,1,0 - 15,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,4,Second Player,Second Player,,1 - 3,2,15 - 15,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,4,Second Player,Second Player,,1 - 3,3,15 - 30,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,4,Second Player,Second Player,,1 - 3,4,30 - 30,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,4,Second Player,Second Player,,1 - 3,5,30 - 40,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,5,First Player,First Player,,2 - 3,1,15 - 0,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,5,First Player,First Player,,2 - 3,2,30 - 0,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,5,First Player,First Player,,2 - 3,3,40 - 0,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,5,First Player,First Player,,2 - 3,4,40 - 15,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,5,First Player,First Player,,2 - 3,5,40 - 30,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,6,Second Player,Second Player,,2 - 4,1,0 - 15,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,6,Second Player,Second Player,,2 - 4,2,0 - 30,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,6,Second Player,Second Player,,2 - 4,3,0 - 40,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,6,Second Player,Second Player,,2 - 4,4,15 - 40,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,7,First Player,Second Player,First Player,2 - 5,1,0 - 15,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,7,First Player,Second Player,First Player,2 - 5,2,15 - 15,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,7,First Player,Second Player,First Player,2 - 5,3,15 - 30,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,7,First Player,Second Player,First Player,2 - 5,4,15 - 40,First Play,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,8,Second Player,Second Player,,2 - 6,1,0 - 15,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,8,Second Player,Second Player,,2 - 6,2,0 - 30,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 1,8,Second Player,Second Player,,2 - 6,3,0 - 40,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 2,1,First Player,First Player,,1 - 0,1,15 - 0,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 2,1,First Player,First Player,,1 - 0,2,30 - 0,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 2,1,First Player,First Player,,1 - 0,3,30 - 15,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 2,1,First Player,First Player,,1 - 0,4,40 - 15,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 2,2,Second Player,Second Player,,1 - 1,1,0 - 15,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 2,2,Second Player,Second Player,,1 - 1,2,15 - 15,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 2,2,Second Player,Second Player,,1 - 1,3,15 - 30,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 2,2,Second Player,Second Player,,1 - 1,4,15 - 40,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 2,2,Second Player,Second Player,,1 - 1,5,30 - 40,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 2,3,First Player,First Player,,2 - 1,1,15 - 0,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 2,3,First Player,First Player,,2 - 1,2,15 - 15,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 2,3,First Player,First Player,,2 - 1,3,15 - 30,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 2,3,First Player,First Player,,2 - 1,4,30 - 30,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 2,3,First Player,First Player,,2 - 1,5,40 - 30,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 2,4,Second Player,Second Player,,2 - 2,1,0 - 15,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 2,4,Second Player,Second Player,,2 - 2,2,0 - 30,,,,2026-01-28 21:26:06
12098551,2026-01-28,Set 2,4,Second Player,Second Player,,2 - 2,3,0 - 40,,,,2026-01-28 21:26:06
