event_key,event_date,score_first,score_second,score_set,download_time
12099841,2026-02-02,0,0,1,2026-02-01 15:47:17
12099842,2026-02-02,0,0,1,2026-02-01 15:47:17
12099843,2026-02-02,0,0,1,2026-02-01 15:47:17
12099844,2026-02-02,0,0,1,2026-02-01 15:47:17
12099845,2026-02-02,0,0,1,2026-02-01 15:47:17
12099846,2026-02-02,0,0,1,2026-02-01 15:47:17
12099847,2026-02-02,0,0,1,2026-02-01 15:47:17
12099848,2026-02-02,0,0,1,2026-02-01 15:47:17
12099853,2026-02-02,0,0,1,2026-02-01 15:47:17
12099856,2026-02-02,0,0,1,2026-02-01 15:47:17
12099857,2026-02-02,0,0,1,2026-02-01 15:47:17
12099858,2026-02-02,0,0,1,2026-02-01 15:47:17
12099859,2026-02-02,0,0,1,2026-02-01 15:47:17
12099860,2026-02-02,0,0,1,2026-02-01 15:47:17
12099861,2026-02-02,0,0,1,2026-02-01 15:47:17
12099862,2026-02-02,0,0,1,2026-02-01 15:47:17
12099863,2026-02-02,0,0,1,2026-02-01 15:47:17
12099864,2026-02-02,0,0,1,2026-02-01 15:47:17
12099866,2026-02-02,0,0,1,2026-02-01 15:47:17
12099868,2026-02-02,0,0,1,2026-02-01 15:47:17
12099916,2026-02-02,0,0,1,2026-02-01 15:47:17
12099917,2026-02-02,0,0,1,2026-02-01 15:47:17
12099920,2026-02-02,0,0,1,2026-02-01 15:47:17
12099922,2026-02-02,0,0,1,2026-02-01 15:47:17
12099923,2026-02-02,0,0,1,2026-02-01 15:47:17
12099938,2026-02-02,0,0,1,2026-02-01 15:47:17
12099939,2026-02-02,0,0,1,2026-02-01 15:47:17
12099940,2026-02-02,0,0,1,2026-02-01 15:47:17
12099941,2026-02-02,0,0,1,2026-02-01 15:47:17
12099942,2026-02-02,0,0,1,2026-02-01 15:47:17
12099943,2026-02-02,0,0,1,2026-02-01 15:47:17
12099944,2026-02-02,0,0,1,2026-02-01 15:47:17
12099945,2026-02-02,0,0,1,2026-02-01 15:47:17
12099946,2026-02-02,0,0,1,2026-02-01 15:47:17
12099947,2026-02-02,0,0,1,2026-02-01 15:47:17
12099948,2026-02-02,0,0,1,2026-02-01 15:47:17
12099949,2026-02-02,0,0,1,2026-02-01 15:47:17
12099950,2026-02-02,0,0,1,2026-02-01 15:47:17
12099952,2026-02-02,0,0,1,2026-02-01 15:47:17
12099954,2026-02-02,0,0,1,2026-02-01 15:47:17
12099956,2026-02-02,0,0,1,2026-02-01 15:47:17
12099958,2026-02-02,0,0,1,2026-02-01 15:47:17
12099959,2026-02-02,0,0,1,2026-02-01 15:47:17
12099962,2026-02-02,0,0,1,2026-02-01 15:47:17
12099963,2026-02-02,0,0,1,2026-02-01 15:47:17
