event_key,event_date,set_number,number_game,player_served,serve_winner,serve_lost,game_score,number_point,point_score,break_point,set_point,match_point,download_time
12091827,2025-12-02,Set 1,1,First Player,First Player,,1 - 0,1,0 - 15,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,1,First Player,First Player,,1 - 0,2,0 - 30,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,1,First Player,First Player,,1 - 0,3,15 - 30,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,1,First Player,First Player,,1 - 0,4,30 - 30,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,1,First Player,First Player,,1 - 0,5,40 - 30,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,1,First Player,First Player,,1 - 0,6,40 - 40,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,1,First Player,First Player,,1 - 0,7,A - 40,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,2,Second Player,Second Player,,1 - 1,1,0 - 15,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,2,Second Player,Second Player,,1 - 1,2,0 - 30,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,2,Second Player,Second Player,,1 - 1,3,15 - 30,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,2,Second Player,Second Player,,1 - 1,4,15 - 40,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,2,Second Player,Second Player,,1 - 1,5,30 - 40,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,3,First Player,Second Player,First Player,1 - 2,1,0 - 15,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,3,First Player,Second Player,First Player,1 - 2,2,15 - 15,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,3,First Player,Second Player,First Player,1 - 2,3,15 - 30,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,3,First Player,Second Player,First Player,1 - 2,4,30 - 30,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,3,First Player,Second Player,First Player,1 - 2,5,30 - 40,First Play,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,4,Second Player,First Player,Second Player,2 - 2,1,0 - 15,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,4,Second Player,First Player,Second Player,2 - 2,2,15 - 15,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,4,Second Player,First Player,Second Player,2 - 2,3,15 - 30,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,4,Second Player,First Player,Second Player,2 - 2,4,15 - 40,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,4,Second Player,First Player,Second Player,2 - 2,5,30 - 40,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,4,Second Player,First Player,Second Player,2 - 2,6,40 - 40,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,4,Second Player,First Player,Second Player,2 - 2,7,A - 40,First Play,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,5,First Player,First Player,,3 - 2,1,15 - 0,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,5,First Player,First Player,,3 - 2,2,30 - 0,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,5,First Player,First Player,,3 - 2,3,40 - 0,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,5,First Player,First Player,,3 - 2,4,40 - 15,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,5,First Player,First Player,,3 - 2,5,40 - 30,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,5,First Player,First Player,,3 - 2,6,40 - 40,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,5,First Player,First Player,,3 - 2,7,A - 40,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,6,Second Player,Second Player,,3 - 3,1,0 - 15,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,6,Second Player,Second Player,,3 - 3,2,15 - 15,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,6,Second Player,Second Player,,3 - 3,3,15 - 30,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,6,Second Player,Second Player,,3 - 3,4,15 - 40,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,6,Second Player,Second Player,,3 - 3,5,30 - 40,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,7,First Player,First Player,,4 - 3,1,15 - 0,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,7,First Player,First Player,,4 - 3,2,15 - 15,,,,2025-12-30 16:12:24
12091827,2025-12-02,Set 1,7,First Player,First Player,,4 - 3,3,30 - 15,,,,2025-12-30 16:12:24
