event_key,event_date,score_first,score_second,score_set,download_time
12093893,2026-01-03,0,0,1,2025-12-30 16:13:00
12093896,2026-01-03,0,0,1,2025-12-30 16:13:00
12093932,2026-01-03,0,0,1,2025-12-30 16:13:00
12093933,2026-01-03,0,0,1,2025-12-30 16:13:00
12093934,2026-01-03,0,0,1,2025-12-30 16:13:00
12093935,2026-01-03,0,0,1,2025-12-30 16:13:00
12093936,2026-01-03,0,0,1,2025-12-30 16:13:00
12093937,2026-01-03,0,0,1,2025-12-30 16:13:00
12093938,2026-01-03,0,0,1,2025-12-30 16:13:00
12093940,2026-01-03,0,0,1,2025-12-30 16:13:00
12093941,2026-01-03,0,0,1,2025-12-30 16:13:00
12093942,2026-01-03,0,0,1,2025-12-30 16:13:00
12094040,2026-01-03,0,0,1,2025-12-30 16:13:00
