event_key,event_date,event_time,event_first_player,first_player_key,event_second_player,second_player_key,event_final_result,event_game_result,event_serve,event_winner,event_status,event_type_type,tournament_name,tournament_key,tournament_round,tournament_season,event_live,event_first_player_logo,event_second_player_logo,event_qualification,download_time
12093972,2026-01-05,05:45,T. Fritz,2832,J. Munar,2083,2 - 1,-,,First Player,Finished,Atp Singles,ATP United Cup,8455,,2026,0,https://api.api-tennis.com/logo-tennis/2832_t-fritz.jpg,https://api.api-tennis.com/logo-tennis/2083_j-munar.jpg,,2026-01-11 16:03:56
12093889,2026-01-02,03:15,J. Munar,2083,S. Baez,1101,0 - 2,-,,Second Player,Finished,Atp Singles,ATP United Cup,8455,,2026,0,https://api.api-tennis.com/logo-tennis/2083_j-munar.jpg,https://api.api-tennis.com/logo-tennis/1101_s-baez.jpg,,2026-01-11 16:03:56
12090393,2025-11-23,17:05,F. Cobolli,372,J. Munar,2083,2 - 1,-,,First Player,Finished,Atp Singles,ATP Davis Cup - World Group,3120,,2025,0,https://api.api-tennis.com/logo-tennis/372_f-cobolli.jpg,https://api.api-tennis.com/logo-tennis/2083_j-munar.jpg,,2026-01-11 16:03:56
12090180,2025-11-22,14:30,J. Munar,2083,A. Zverev,1980,0 - 2,-,,Second Player,Finished,Atp Singles,ATP Davis Cup - World Group,3120,,2025,0,https://api.api-tennis.com/logo-tennis/2083_j-munar.jpg,https://api.api-tennis.com/logo-tennis/1980_a-zverev.jpg,,2026-01-11 16:03:56
12089824,2025-11-20,12:25,J. Munar,2083,J. Lehecka,2959,2 - 0,-,,First Player,Finished,Atp Singles,ATP Davis Cup - World Group,3120,,2025,0,https://api.api-tennis.com/logo-tennis/2083_j-munar.jpg,https://api.api-tennis.com/logo-tennis/2959_j-lehecka.jpg,,2026-01-11 16:03:56
12082291,2025-10-28,14:55,J. Munar,2083,D. Medvedev,1093,0 - 2,-,,Second Player,Finished,Atp Singles,Paris,1725,Paris - 1/32-finals,2025,0,https://api.api-tennis.com/logo-tennis/2083_j-munar.jpg,https://api.api-tennis.com/logo-tennis/1093_d-medvedev.jpg,False,2026-01-11 16:03:56
12082228,2025-10-25,15:10,J. Fonseca,40058,J. Munar,2083,2 - 0,-,,First Player,Finished,Atp Singles,Basel,1706,Basel - Semi-finals,2025,0,https://api.api-tennis.com/logo-tennis/40058_j-fonseca.jpg,https://api.api-tennis.com/logo-tennis/2083_j-munar.jpg,False,2026-01-11 16:03:56
12081429,2025-10-23,16:20,J. Munar,2083,B. Shelton,2973,2 - 0,-,,First Player,Finished,Atp Singles,Basel,1706,Basel - 1/8-finals,2025,0,https://api.api-tennis.com/logo-tennis/2083_j-munar.jpg,https://api.api-tennis.com/logo-tennis/2973_b-shelton.jpg,False,2026-01-11 16:03:56
12080383,2025-10-20,16:35,R. Bertola,1212,J. Munar,2083,0 - 2,-,,Second Player,Finished,Atp Singles,Basel,1706,Basel - 1/16-finals,2025,0,https://api.api-tennis.com/logo-tennis/1212_r-bertola.jpg,https://api.api-tennis.com/logo-tennis/2083_j-munar.jpg,False,2026-01-11 16:03:56
12076952,2025-10-07,13:20,J. Munar,2083,N. Djokovic,1905,1 - 2,-,,Second Player,Finished,Atp Singles,Shanghai,1667,Shanghai - 1/8-finals,2025,0,https://api.api-tennis.com/logo-tennis/2083_j-munar.jpg,https://api.api-tennis.com/logo-tennis/1905_n-djokovic.jpg,False,2026-01-11 16:03:56
