event_key,event_date,event_time,event_first_player,first_player_key,event_second_player,second_player_key,event_final_result,event_game_result,event_serve,event_winner,event_status,event_type_type,tournament_name,tournament_key,tournament_round,tournament_season,event_live,event_first_player_logo,event_second_player_logo,event_qualification,download_time
12095683,2026-01-11,08:40,L. Musetti,2849,A. Bublik,1895,0 - 2,-,,Second Player,Finished,Atp Singles,ATP Hong Kong,2820,ATP Hong Kong - Final,2026,0,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,False,2026-01-11 16:12:58
12095521,2026-01-10,08:40,L. Musetti,2849,A. Rublev,2847,2 - 1,-,,First Player,Finished,Atp Singles,ATP Hong Kong,2820,ATP Hong Kong - Semi-finals,2026,0,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/2847_a-rublev.jpg,False,2026-01-11 16:12:58
12095545,2026-01-10,11:45,M. Giron,1766,A. Bublik,1895,1 - 2,-,,Second Player,Finished,Atp Singles,ATP Hong Kong,2820,ATP Hong Kong - Semi-finals,2026,0,https://api.api-tennis.com/logo-tennis/1766_m-giron.jpg,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,False,2026-01-11 16:12:58
12095252,2026-01-09,06:45,L. Musetti,2849,C. Wong,2227,2 - 0,-,,First Player,Finished,Atp Singles,ATP Hong Kong,2820,ATP Hong Kong - Quarter-finals,2026,0,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/2227_c-wong.jpg,False,2026-01-11 16:12:58
12095407,2026-01-09,11:05,J. Shang,2413,A. Bublik,1895,0 - 2,-,,Second Player,Finished,Atp Singles,ATP Hong Kong,2820,ATP Hong Kong - Quarter-finals,2026,0,https://api.api-tennis.com/logo-tennis/2413_j-shang.jpg,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,False,2026-01-11 16:12:58
12094981,2026-01-08,11:10,B. Van De Zandschulp,2972,A. Bublik,1895,0 - 2,-,,Second Player,Finished,Atp Singles,ATP Hong Kong,2820,ATP Hong Kong - 1/8-finals,2026,0,https://api.api-tennis.com/logo-tennis/2972_b-van-de-zandschulp.jpg,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,False,2026-01-11 16:12:58
12094945,2026-01-07,06:40,L. Musetti,2849,T. M. Etcheverry,1777,2 - 1,-,,First Player,Finished,Atp Singles,ATP Hong Kong,2820,ATP Hong Kong - 1/8-finals,2026,0,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/1777_t-m-etcheverry.jpg,False,2026-01-11 16:12:58
12086498,2025-11-11,20:40,L. Musetti,2849,A. De Minaur,1106,2 - 1,-,,First Player,Finished,Atp Singles,Finals - Turin,2794,,2025,0,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/1106_a-de-minaur.jpg,,2026-01-11 16:12:58
12086486,2025-11-10,14:20,L. Musetti,2849,T. Fritz,2832,0 - 2,-,,Second Player,Finished,Atp Singles,Finals - Turin,2794,,2025,0,https://api.api-tennis.com/logo-tennis/2849_l-musetti.jpg,https://api.api-tennis.com/logo-tennis/2832_t-fritz.jpg,,2026-01-11 16:12:58
12084956,2025-11-05,18:10,V. Sachko,1899,A. Bublik,1895,2 - 1,-,,First Player,Finished,Atp Singles,Metz,1616,Metz - 1/8-finals,2025,0,https://api.api-tennis.com/logo-tennis/1899_v-sachko.jpg,https://api.api-tennis.com/logo-tennis/1895_a-bublik.jpg,False,2026-01-11 16:12:58
