event_key,event_date,event_time,event_first_player,first_player_key,event_second_player,second_player_key,event_final_result,event_game_result,event_serve,event_winner,event_status,event_type_type,tournament_name,tournament_key,tournament_round,tournament_season,event_live,event_first_player_logo,event_second_player_logo,event_qualification,download_time
12079532,2025-10-17,14:05,L. Zhu,451,D. Shnaider,7403,1 - 2,-,,Second Player,Finished,Wta Singles,Ningbo,10180,Ningbo - Quarter-finals,2025,0,https://api.api-tennis.com/logo-tennis/451_l-zhu.jpg,https://api.api-tennis.com/logo-tennis/7403_d-shnaider.jpg,False,2025-12-30 16:19:16
12079207,2025-10-15,15:20,M. Andreeva,9534,L. Zhu,451,1 - 2,-,,Second Player,Finished,Wta Singles,Ningbo,10180,Ningbo - 1/8-finals,2025,0,https://api.api-tennis.com/logo-tennis/9534_m-andreeva.jpg,https://api.api-tennis.com/logo-tennis/451_l-zhu.jpg,False,2025-12-30 16:19:16
12078516,2025-10-14,11:40,E. Raducanu,2996,L. Zhu,451,1 - 2,-,,Second Player,Finished,Wta Singles,Ningbo,10180,Ningbo - 1/16-finals,2025,0,https://api.api-tennis.com/logo-tennis/2996_e-raducanu.jpg,https://api.api-tennis.com/logo-tennis/451_l-zhu.jpg,False,2025-12-30 16:19:16
12076606,2025-10-06,09:15,L. Zhu,451,M. Joint,52689,0 - 2,-,,Second Player,Finished,Wta Singles,Wuhan,2236,Wuhan - 1/32-finals,2025,0,https://api.api-tennis.com/logo-tennis/451_l-zhu.jpg,https://api.api-tennis.com/logo-tennis/52689_m-joint.jpg,False,2025-12-30 16:19:16
12074384,2025-09-27,05:10,M. Andreeva,9534,L. Zhu,451,2 - 0,-,,First Player,Finished,Wta Singles,Beijing,1651,Beijing - 1/32-finals,2025,0,https://api.api-tennis.com/logo-tennis/9534_m-andreeva.jpg,https://api.api-tennis.com/logo-tennis/451_l-zhu.jpg,False,2025-12-30 16:19:16
12073618,2025-09-25,08:30,M. Uchijima,460,L. Zhu,451,0 - 2,-,,Second Player,Finished,Wta Singles,Beijing,1651,Beijing - 1/64-finals,2025,0,https://api.api-tennis.com/logo-tennis/460_m-uchijima.jpg,https://api.api-tennis.com/logo-tennis/451_l-zhu.jpg,False,2025-12-30 16:19:16
12070866,2025-09-14,04:10,H. Guo,7931,L. Zhu,451,2 - 1,-,,First Player,Finished,Itf Women Singles,W50 Guiyang,11655,W50 Guiyang - Final,2025,0,,https://api.api-tennis.com/logo-tennis/451_l-zhu.jpg,False,2025-12-30 16:19:16
12070646,2025-09-13,05:45,J. Kolodynska,199,L. Zhu,451,1 - 2,-,,Second Player,Finished,Itf Women Singles,W50 Guiyang,11655,W50 Guiyang - Semi-finals,2025,0,,https://api.api-tennis.com/logo-tennis/451_l-zhu.jpg,False,2025-12-30 16:19:16
12070326,2025-09-12,06:40,J. Wang,5683,L. Zhu,451,0 - 2,-,,Second Player,Finished,Itf Women Singles,W50 Guiyang,11655,W50 Guiyang - Quarter-finals,2025,0,,https://api.api-tennis.com/logo-tennis/451_l-zhu.jpg,False,2025-12-30 16:19:16
12070012,2025-09-11,04:00,M. Ozeki,7561,L. Zhu,451,0 - 2,-,,Second Player,Finished,Itf Women Singles,W50 Guiyang,11655,W50 Guiyang - 1/8-finals,2025,0,,https://api.api-tennis.com/logo-tennis/451_l-zhu.jpg,False,2025-12-30 16:19:16
