player_name,player_key,ppn,player_full_name,matched_by,fuzzy_score,is_correct
Aadarsh Tripathi,69983.0,A. Tripathi,Aadarsh Tripathi,sorted_name,,ok
Aaron Funk,57709.0,A. Funk,Aaron Funk,sorted_name,,ok
Aaron Gil Garcia,58548.0,A. Gil Garcia,Aaron Gil Garcia,sorted_name,,ok
Aaron James Williams,40206.0,A. J. Williams,James Williams Aaron,sorted_name,,ok
Tomas Curras Abasolo,6717.0,T. Curras Abasolo,Tomas Curras Abasolo,sorted_name,,ok
Sami Ben Abdennibi,8143.0,S. Ben Abdennibi,Sami Ben Abdennibi,sorted_name,,ok
Wissam Abderrahman,1948.0,W. Abderrahman,Wissam Abderrahman,sorted_name,,ok
Abdulaziz Usmonjonov,83536.0,A. Usmonjonov,Abdulaziz Usmonjonov,sorted_name,,ok
Abdulhamid Mubarak,14543.0,A. Mubarak,Abdulhamid Mubarak,sorted_name,,ok
Alan Abdullin,76612.0,A. Abdullin,Alan Abdullin,sorted_name,,ok
Damir Abdusamadov,74152.0,D. Abdusamadov,Damir Abdusamadov,sorted_name,,ok
Motoharu Abe,94844.0,M. Abe,Motoharu Abe,sorted_name,,ok
Abel Forger,57239.0,A. Forger,Abel Forger,sorted_name,,ok
Abhinav Sanjeev Shanmugam,1279.0,A. Shanmugam,Sanjeev Shanmugam Abhinav,sorted_name,,ok
Mohamed Ali Abibsi,13016.0,A. Abibsi,Ali Abibsi Mohamed,sorted_name,,ok
Leonardo Aboian,688.0,L. Aboian,Leonardo Aboian,sorted_name,,ok
Valerio Aboian,703.0,V. Aboian,Valerio Aboian,sorted_name,,ok
Abraham Asaba,9194.0,A. Asaba,Abraham Asaba,sorted_name,,ok
Achilles Belkovics,68441.0,A. Belkovics,Achilles Belkovics,sorted_name,,ok
Facundo Diaz Acosta,2002.0,F. Diaz Acosta,Facundo Diaz Acosta,sorted_name,,ok
Adam Farag Cao,75349.0,A. Farag-Cao,Adam Farag-Cao,sorted_name,,ok
Adam Gabor Szoke,74231.0,A. G. Szoke,Gabor Szoke Adam,sorted_name,,ok
Zachary Adam-Gedge,75319.0,Z. Adam-Gedge,Zachary Adam-Gedge,sorted_name,,ok
Adam Heinonen,26150.0,A. Heinonen,Adam Heinonen,sorted_name,,ok
Adam Jilly,58390.0,A. Jilly,Adam Jilly,sorted_name,,ok
Adam Jones,647.0,A. Jones,Adam Jones,sorted_name,,ok
Adam Lynch,71521.0,A. Lynch,Adam Lynch,sorted_name,,ok
Adam Majchrzak,58193.0,A. Majchrzak,Adam Majchrzak,sorted_name,,ok
Adam Panaras,55805.0,A. Panaras,Adam Panaras,sorted_name,,ok
Adam Walton,10070.0,A. Walton,Adam Walton,sorted_name,,ok
Adan Freire Da Silva,38022.0,A. Freire Da Silva,Adan Freire Da Silva,sorted_name,,ok
Dan Added,1854.0,D. Added,Dan Added,sorted_name,,ok
Adhithya Ganesan,54464.0,A. Ganesan,Adhithya Ganesan,sorted_name,,ok
Adil Kalyanpur,775.0,A. Kalyanpur,Adil Kalyanpur,sorted_name,,ok
Adit Sinha,18085.0,A. Sinha,Adit Sinha,sorted_name,,ok
