player_key,name,season,type,surface,prize,download_time
1905,Rome,2022,singles,clay,"€4,332,325",2025-12-29 16:55:28
1905,Paris,2021,singles,hard (indoor),"€3,901,015",2025-12-29 16:55:28
1905,Wimbledon,2021,singles,grass,"£13,490,000",2025-12-29 16:55:28
1905,French Open,2021,singles,clay,"€18,209,040",2025-12-29 16:55:28
1905,Belgrade 2,2021,singles,clay,"€511,000",2025-12-29 16:55:28
1905,Australian Open,2021,singles,hard,"A$28,621,000",2025-12-29 16:55:28
1905,Rome,2020,singles,clay,"€5,433,555",2025-12-29 16:55:28
1905,Cincinnati,2020,singles,hard,"$6,297,080",2025-12-29 16:55:28
1905,Dubai,2020,singles,hard,"$2,794,840",2025-12-29 16:55:28
1905,Australian Open,2020,singles,hard,"A$28,621,000",2025-12-29 16:55:28
1905,Paris,2019,singles,hard (indoor),"€5,207,405",2025-12-29 16:55:28
1905,Tokyo,2019,singles,hard,"$1,895,290",2025-12-29 16:55:28
1905,Wimbledon,2019,singles,grass,"£14,245,000",2025-12-29 16:55:28
1905,Madrid,2019,singles,clay,"€6,536,160",2025-12-29 16:55:28
1905,Australian Open,2019,singles,hard,"A$24,950,000",2025-12-29 16:55:28
1905,Shanghai,2018,singles,hard,"$7,086,700",2025-12-29 16:55:28
1905,US Open,2018,singles,hard,"$21,960,000",2025-12-29 16:55:28
1905,Cincinnati,2018,singles,hard,"$6,335,970",2025-12-29 16:55:28
1905,Wimbledon,2018,singles,grass,"£13,020,000",2025-12-29 16:55:28
1905,Eastbourne,2017,singles,grass,"€635,660",2025-12-29 16:55:28
1905,Doha,2017,singles,hard,"$1,237,190",2025-12-29 16:55:28
1905,Toronto,2016,singles,hard,"$4,691,730",2025-12-29 16:55:28
1905,French Open,2016,singles,clay,"€12,704,000",2025-12-29 16:55:28
1905,Madrid,2016,singles,clay,"€5,719,660",2025-12-29 16:55:28
1905,Miami,2016,singles,hard,"$7,037,595",2025-12-29 16:55:28
1905,Indian Wells,2016,singles,hard,"$7,037,595",2025-12-29 16:55:28
1905,Australian Open,2016,singles,hard,"A$15,000,000",2025-12-29 16:55:28
1905,Doha,2016,singles,hard,"$1,283,855",2025-12-29 16:55:28
1905,World Tour Finals - London,2015,singles,hard (indoor),"$7,000,000",2025-12-29 16:55:28
1905,Paris,2015,singles,hard (indoor),"€3,830,295",2025-12-29 16:55:28
1905,Shanghai,2015,singles,hard,"$7,021,335",2025-12-29 16:55:28
1905,Beijing,2015,singles,hard,"$3,944,715",2025-12-29 16:55:28
1905,US Open,2015,singles,hard,"$17,388,900",2025-12-29 16:55:28
1905,Wimbledon,2015,singles,grass,"£11,280,000",2025-12-29 16:55:28
1905,Rome,2015,singles,clay,"€3,830,295",2025-12-29 16:55:28
1905,Monte Carlo,2015,singles,clay,"€3,624,045",2025-12-29 16:55:28
1905,Miami,2015,singles,hard,"$6,267,755",2025-12-29 16:55:28
1905,Indian Wells,2015,singles,hard,"$6,267,755",2025-12-29 16:55:28
1905,Australian Open,2015,singles,hard,"A$15,166,000",2025-12-29 16:55:28
1905,World Tour Finals - London,2014,singles,hard (indoor),"$6,500,000",2025-12-29 16:55:28
1905,Paris,2014,singles,hard (indoor),"€3,452,415",2025-12-29 16:55:28
1905,Beijing,2014,singles,hard,"$3,755,065",2025-12-29 16:55:28
1905,Wimbledon,2014,singles,grass,"£10,248,000",2025-12-29 16:55:28
1905,Rome,2014,singles,clay,"€3,452,415",2025-12-29 16:55:28
1905,Miami,2014,singles,hard,"$5,649,405",2025-12-29 16:55:28
1905,Indian Wells,2014,singles,hard,"$6,169,040",2025-12-29 16:55:28
1905,World Tour Finals - London,2013,singles,hard (indoor),"$6,000,000",2025-12-29 16:55:28
1905,Paris,2013,singles,hard (indoor),"€3,204,745",2025-12-29 16:55:28
1905,Shanghai,2013,singles,hard,"$6,211,445",2025-12-29 16:55:28
1905,Beijing,2013,singles,hard,"$3,566,050",2025-12-29 16:55:28
1905,Monte Carlo,2013,singles,clay,"€2,998,495",2025-12-29 16:55:28
1905,Dubai,2013,singles,hard,"$2,413,300",2025-12-29 16:55:28
1905,Australian Open,2013,singles,hard,"$11,633,160",2025-12-29 16:55:28
1905,World Tour Finals - London,2012,singles,hard (indoor),"£5,500,000",2025-12-29 16:55:28
1905,Shanghai,2012,singles,hard,"$5,891,600",2025-12-29 16:55:28
1905,Beijing,2012,singles,hard,"$3,441,500",2025-12-29 16:55:28
1905,Toronto,2012,singles,hard,"$3,218,700",2025-12-29 16:55:28
1905,Miami,2012,singles,hard,"$4,828,050",2025-12-29 16:55:28
1905,Australian Open,2012,singles,hard,"A$11,806,550",2025-12-29 16:55:28
1905,US Open,2011,singles,hard,"$10,508,000",2025-12-29 16:55:28
1905,Montreal,2011,singles,hard,"$3,000,000",2025-12-29 16:55:28
1905,Wimbledon,2011,singles,grass,"£13,725,000",2025-12-29 16:55:28
1905,Rome,2011,singles,clay,"€2,750,000",2025-12-29 16:55:28
1905,Madrid,2011,singles,clay,"€3,706,000",2025-12-29 16:55:28
1905,Belgrade,2011,singles,clay,"€416,650",2025-12-29 16:55:28
1905,Miami,2011,singles,hard,"$4,500,000",2025-12-29 16:55:28
1905,Indian Wells,2011,singles,hard,"$4,717,540",2025-12-29 16:55:28
