player_key,season,type,rank,titles,matches_won,matches_lost,hard_won,hard_lost,clay_won,clay_lost,grass_won,grass_lost,download_time
55858,1,doubles,1,1,1,1,1,1,1,1,1,1,2025-12-29 18:58:19
55858,,doubles,,,,,,,,,,,2025-12-29 18:58:19
55858,2,doubles,2,2,2,2,2,2,2,2,2,2,2025-12-29 18:58:19
55858,0,doubles,0,0,0,0,0,0,0,0,0,0,2025-12-29 18:58:19
55858,1,singles,1,1,1,1,1,1,1,1,1,1,2025-12-29 18:58:19
55858,0,singles,0,0,0,0,0,0,0,0,0,0,2025-12-29 18:58:19
55858,,singles,,,,,,,,,,,2025-12-29 18:58:19
55858,2,singles,2,2,2,2,2,2,2,2,2,2,2025-12-29 18:58:19
55858,3,singles,3,3,3,3,3,3,3,3,3,3,2025-12-29 18:58:19
55858,2024,doubles,,0,2,2,2,2,,,,,2025-12-29 18:58:19
55858,2023,doubles,1902,0,1,2,,,1,2,,,2025-12-29 18:58:19
55858,2024,singles,590,0,29,19,2,3,27,16,,,2025-12-29 18:58:19
55858,2023,singles,1538,0,2,3,,,2,3,,,2025-12-29 18:58:19
55858,2025,doubles,1659,0,0,1,0,0,0,1,,,2025-12-29 18:58:19
55858,2025,singles,381,0,23,29,6,8,17,21,,,2025-12-29 18:58:19
