place,player,player_key,league,movement,country,points,download_time
1,Carlos Alcaraz,2382.0,ATP,same,Spain,13150,2026-02-12 02:42:18
2,Jannik Sinner,2072.0,ATP,same,Italy,10300,2026-02-12 02:42:18
3,Novak Djokovic,1905.0,ATP,same,Serbia,5280,2026-02-12 02:42:18
4,Alexander Zverev,1980.0,ATP,same,Germany,4605,2026-02-12 02:42:18
5,Lorenzo Musetti,2849.0,ATP,same,Italy,4405,2026-02-12 02:42:18
6,Felix Auger-Aliassime,2073.0,ATP,up,Canada,3950,2026-02-12 02:42:18
7,Taylor Fritz,2832.0,ATP,same,USA,3940,2026-02-12 02:42:18
8,Alex De Minaur,1106.0,ATP,down,Australia,3835,2026-02-12 02:42:18
9,Ben Shelton,2973.0,ATP,same,USA,3560,2026-02-12 02:42:18
10,Alexander Bublik,1895.0,ATP,same,Kazakhstan,3235,2026-02-12 02:42:18
11,Daniil Medvedev,1093.0,ATP,same,World,3060,2026-02-12 02:42:18
12,Jack Draper,7011.0,ATP,up,United Kingdom,2790,2026-02-12 02:42:18
13,Casper Ruud,430.0,ATP,down,Norway,2625,2026-02-12 02:42:18
14,Alejandro Davidovich Fokina,2842.0,ATP,up,Spain,2535,2026-02-12 02:42:18
15,Andrey Rublev,2847.0,ATP,down,World,2510,2026-02-12 02:42:18
16,Jakub Mensik,902.0,ATP,same,Czech Republic,2425,2026-02-12 02:42:18
17,Holger Rune,437.0,ATP,same,Denmark,2340,2026-02-12 02:42:18
18,Karen Khachanov,435.0,ATP,same,World,2320,2026-02-12 02:42:18
19,Francisco Cerundolo,1104.0,ATP,same,Argentina,2135,2026-02-12 02:42:18
20,Flavio Cobolli,372.0,ATP,same,Italy,1955,2026-02-12 02:42:18
21,Jiri Lehecka,2959.0,ATP,same,Czech Republic,1860,2026-02-12 02:42:18
22,Luciano Darderi,8781.0,ATP,up,Italy,1789,2026-02-12 02:42:18
23,Learner Tien,10520.0,ATP,up,USA,1710,2026-02-12 02:42:18
24,Tommy Paul,1894.0,ATP,down,USA,1700,2026-02-12 02:42:18
25,Valentin Vacherot,1852.0,ATP,up,Monaco,1611,2026-02-12 02:42:18
26,Cameron Norrie,1103.0,ATP,same,United Kingdom,1603,2026-02-12 02:42:18
27,Tallon Griekspoor,427.0,ATP,up,Netherlands,1585,2026-02-12 02:42:18
28,Arthur Rinderknech,1902.0,ATP,up,France,1542,2026-02-12 02:42:18
